symbol,name
AAL,American Airlines Group Inc. Common Stock
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares
AAP,Advance Auto Parts Inc.
AAT,American Assets Trust Inc. Common Stock
ABG,Asbury Automotive Group Inc Common Stock
ABL,Abacus Global Management Inc. Class A Common Stock
ABM,ABM Industries Incorporated Common Stock
ABP,Abpro Holdings Inc Common Stock
ABR,Arbor Realty Trust Common Stock
ABT,Abbott Laboratories Common Stock
ACA,Arcosa Inc. Common Stock 
ACB,Aurora Cannabis Inc. Common Shares
ACI,Albertsons Companies Inc. Class A Common Stock
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACP,abrdn Income Credit Strategies Fund Common Shares
ACR,ACRES Commercial Realty Corp. Common Stock
ACT,Enact Holdings Inc. Common Stock
ACU,Acme United Corporation. Common Stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ADC,Agree Realty Corporation Common Stock
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares
ADI,Analog Devices Inc. Common Stock
ADM,Archer-Daniels-Midland Company Common Stock
ADN,Advent Technologies Holdings Inc. Class A Common Stock
ADP,Automatic Data Processing Inc. Common Stock
ADT,ADT Inc. Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
ADX,Adams Diversified Equity Fund Inc.
AEE,Ameren Corporation Common Stock
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock
AEG,Aegon Ltd. New York Registry Shares
AEI,Alset Inc. Common Stock (TX)
AEM,Agnico Eagle Mines Limited Common Stock
AEO,American Eagle Outfitters Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFG,American Financial Group Inc. Common Stock
AFL,AFLAC Incorporated Common Stock
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
AGH,Aureus Greenway Holdings Inc. Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
AGL,agilon health inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGO,Assured Guaranty Ltd. Common Stock
AGS,PlayAGS Inc. Common Stock
AGX,Argan Inc. Common Stock
AHG,Akso Health Group ADS
AHH,Armada Hoffler Properties Inc. Common Stock
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares
AHR,American Healthcare REIT Inc. Common Stock
AHT,Ashford Hospitality Trust Inc Common Stock
AIG,American International Group Inc. New Common Stock
AII,American Integrity Insurance Group Inc. Common Stock
AIN,Albany International Corporation Common Stock
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIP,Arteris Inc. Common Stock
AIR,AAR Corp. Common Stock
AIT,Applied Industrial Technologies Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AIZ,Assurant Inc. Common Stock
AJG,Arthur J. Gallagher & Co. Common Stock
AKA,a.k.a. Brands Holding Corp. Common Stock
AKR,Acadia Realty Trust Common Stock
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALE,Allete Inc.
ALF,Centurion Acquisition Corp. Class A Ordinary Shares
ALG,Alamo Group Inc. Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALT,Altimmune Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMD,Advanced Micro Devices Inc. Common Stock
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMN,AMN Healthcare Services Inc
AMP,Ameriprise Financial Inc. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMS,American Shared Hospital Services Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
ANF,Abercrombie & Fitch Company Common Stock
ANL,Adlai Nortye Ltd. American Depositary Shares
ANY,Sphere 3D Corp. Common Shares
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
AON,Aon plc Class A Ordinary Shares (Ireland)
AOS,A.O. Smith Corporation Common Stock
APA,APA Corporation Common Stock
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APH,Amphenol Corporation Common Stock
API,Agora Inc. American Depositary Shares
APM,Aptorum Group Limited Class A Ordinary Shares
APO,Apollo Global Management Inc. (New) Common Stock
APP,Applovin Corporation Class A Common Stock
APT,Alpha Pro Tech Ltd. Common Stock
AQB,AquaBounty Technologies Inc. Common Stock
AQN,Algonquin Power & Utilities Corp. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARI,Apollo Commercial Real Estate Finance Inc
ARL,American Realty Investors Inc. Common Stock
ARM,Arm Holdings plc American Depositary Shares
ARQ,Arq Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASB,Associated Banc-Corp Common Stock
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASH,Ashland Inc. Common Stock
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada)
ASO,Academy Sports and Outdoors Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ATI,ATI Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATS,ATS Corporation Common Shares
AUB,Atlantic Union Bankshares Corporation Common Stock
AUR,Aurora Innovation Inc. Class A Common Stock
AVA,Avista Corporation Common Stock
AVB,AvalonBay Communities Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVK,Advent Convertible and Income Fund
AVO,Mission Produce Inc. Common Stock
AVR,Anteris Technologies Global Corp. Common Stock
AVT,Avnet Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AWF,Alliancebernstein Global High Income Fund
AWI,Armstrong World Industries Inc Common Stock
AWK,American Water Works Company Inc. Common Stock
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest
AWR,American States Water Company Common Stock
AWX,Avalon Holdings Corporation Common Stock
AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AYI,Acuity Inc. Common Stock
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares
AZN,AstraZeneca PLC American Depositary Shares
AZO,AutoZone Inc. Common Stock
AZZ,AZZ Inc.
BAC,Bank of America Corporation Common Stock
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,Braskem SA ADR
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares
BAP,Credicorp Ltd. Common Stock
BAX,Baxter International Inc. Common Stock
BBD,Banco Bradesco Sa American Depositary Shares
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest
