symbol,name,Standard_Sector,Sector_Chinese
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,工業
AAME,Atlantic American Corporation - Common Stock,Financials,金融
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Information Technology,資訊科技
AAON,"AAON, Inc. - Common Stock",Industrials,工業
AAPL,Apple Inc. - Common Stock,Information Technology,資訊科技
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ABAT,American Battery Technology Company - Common Stock,Materials,原物料
ABEO,Abeona Therapeutics Inc. - Common Stock,Health Care,醫療保健
ABL,"Abacus Global Management, Inc. - Class A Common Stock",Financials,金融
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Discretionary,非必需消費
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ABP,"Abpro Holdings, Inc - Common Stock",Health Care,醫療保健
ABSI,Absci Corporation - Common Stock,Health Care,醫療保健
ABUS,Arbutus Biopharma Corporation - Common Stock,Health Care,醫療保健
ABVC,"ABVC BioPharma, Inc. - Common Stock",Health Care,醫療保健
ABVE,Above Food Ingredients Inc. - Common Stock,Consumer Staples,必需消費
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Health Care,醫療保健
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy,能源
ACET,"Adicet Bio, Inc. - Common Stock",Health Care,醫療保健
ACGL,Arch Capital Group Ltd. - Common Stock,Financials,金融
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Health Care,醫療保健
ACIC,American Coastal Insurance Corporation - Common Stock,Financials,金融
ACIU,AC Immune SA - Common Stock,Health Care,醫療保健
ACIW,"ACI Worldwide, Inc. - Common Stock",Information Technology,資訊科技
ACLS,"Axcelis Technologies, Inc. - Common Stock",Information Technology,資訊科技
ACLX,"Arcellx, Inc. - Common Stock",Health Care,醫療保健
ACMR,"ACM Research, Inc. - Class A Common Stock",Information Technology,資訊科技
ACNB,ACNB Corporation - Common Stock,Financials,金融
ACNT,Ascent Industries Co. - Common Stock,Materials,原物料
ACOG,Alpha Cognition Inc. - Common Stock,Health Care,醫療保健
ACON,"Aclarion, Inc. - Common Stock",Health Care,醫療保健
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ACT,"Enact Holdings, Inc. - Common Stock",Financials,金融
ACTG,Acacia Research Corporation - Common Stock,Industrials,工業
ACTU,"Actuate Therapeutics, Inc. - Common stock",Health Care,醫療保健
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ADBE,Adobe Inc. - Common Stock,Information Technology,資訊科技
ADEA,Adeia Inc.  - Common Stock,Information Technology,資訊科技
ADGM,"Adagio Medical Holdings, Inc - Common Stock",Health Care,醫療保健
ADI,"Analog Devices, Inc. - Common Stock",Information Technology,資訊科技
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Health Care,醫療保健
ADMA,ADMA Biologics Inc - Common Stock,Health Care,醫療保健
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",Industrials,工業
ADP,"Automatic Data Processing, Inc. - Common Stock",Information Technology,資訊科技
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Health Care,醫療保健
ADSK,"Autodesk, Inc. - Common Stock",Information Technology,資訊科技
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Information Technology,資訊科技
ADTX,"Aditxt, Inc. - Common Stock",Health Care,醫療保健
ADUR,Aduro Clean Technologies Inc. - Common Stock,Industrials,工業
ADUS,Addus HomeCare Corporation - Common Stock,Health Care,醫療保健
ADV,Advantage Solutions Inc.  - Class A Common Stock,Communication Services,通訊服務
ADVB,Advanced Biomed Inc. - Common Stock,Health Care,醫療保健
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Health Care,醫療保健
AEHR,Aehr Test Systems - Common Stock,Information Technology,資訊科技
AEI,Alset Inc. - Common Stock,Real Estate,房地產
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Industrials,工業
AEMD,"Aethlon Medical, Inc. - Common Stock",Health Care,醫療保健
AENT,Alliance Entertainment Holding Corporation - common stock,Communication Services,通訊服務
AEP,"American Electric Power Company, Inc. - Common Stock",Utilities,公用事業
AEVA,"Aeva Technologies, Inc. - Common Stock",Information Technology,資訊科技
AEYE,"AudioEye, Inc. - Common Stock",Information Technology,資訊科技
AFBI,"Affinity Bancshares, Inc. - Common Stock",Financials,金融
AFCG,Advanced Flower Capital Inc. - Common Stock,Real Estate,房地產
AFMD,Affimed N.V. - Common Stock,Health Care,醫療保健
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Information Technology,資訊科技
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Communication Services,通訊服務
AGEN,Agenus Inc. - Common Stock,Health Care,醫療保健
AGFY,Agrify Corporation - Common Stock,Industrials,工業
AGH,Aureus Greenway Holdings Inc. - Common Stock,Consumer Discretionary,非必需消費
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
AGNC,AGNC Investment Corp. - Common Stock,Real Estate,房地產
AGYS,"Agilysys, Inc. - Common Stock",Information Technology,資訊科技
AHCO,AdaptHealth Corp.  - Common Stock,Health Care,醫療保健
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",Information Technology,資訊科技
AIHS,Senmiao Technology Limited - Common Stock,Financials,金融
AIMD,"Ainos, Inc. - Common Stock",Health Care,醫療保健
AIOT,"PowerFleet, Inc. - Common Stock",Information Technology,資訊科技
AIP,"Arteris, Inc.  - Common Stock",Information Technology,資訊科技
AIRE,reAlpha Tech Corp. - Common Stock,Real Estate,房地產
AIRG,"Airgain, Inc. - Common Stock",Information Technology,資訊科技
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,Industrials,工業
AIRS,"AirSculpt Technologies, Inc. - Common Stock",Health Care,醫療保健
AIRT,"Air T, Inc. - Common Stock",Industrials,工業
AISP,"Airship AI Holdings, Inc - Class A Common Stock",Information Technology,資訊科技
AKAM,"Akamai Technologies, Inc. - Common Stock",Information Technology,資訊科技
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Health Care,醫療保健
AKRO,"Akero Therapeutics, Inc. - Common Stock",Health Care,醫療保健
AKYA,"Akoya BioSciences, Inc. - Common Stock",Health Care,醫療保健
ALAB,"Astera Labs, Inc. - Common Stock",Information Technology,資訊科技
ALBT,Avalon GloboCare Corp. - Common Stock,Real Estate,房地產
ALCO,"Alico, Inc. - Common Stock",Consumer Staples,必需消費
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ALEC,"Alector, Inc. - Common Stock",Health Care,醫療保健
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Information Technology,資訊科技
ALGN,"Align Technology, Inc. - Common Stock",Health Care,醫療保健
ALGS,"Aligos Therapeutics, Inc. - Common stock",Health Care,醫療保健
ALGT,Allegiant Travel Company - Common Stock,Industrials,工業
ALHC,"Alignment Healthcare, Inc. - Common Stock",Health Care,醫療保健
ALKT,"Alkami Technology, Inc. - Common Stock",Information Technology,資訊科技
ALLK,Allakos Inc. - Common Stock,Health Care,醫療保健
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Health Care,醫療保健
ALLR,"Allarity Therapeutics, Inc. - Common stock",Health Care,醫療保健
ALMS,Alumis Inc. - Common Stock,Health Care,醫療保健
ALMU,"Aeluma, Inc. - Common Stock",Information Technology,資訊科技
ALNT,Allient Inc. - Common Stock,Information Technology,資訊科技
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Health Care,醫療保健
ALOT,"AstroNova, Inc. - Common Stock",Information Technology,資訊科技
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Information Technology,資訊科技
ALRS,Alerus Financial Corporation - Common Stock,Financials,金融
ALT,"Altimmune, Inc. - Common Stock",Health Care,醫療保健
ALTI,"AlTi Global, Inc. - Class A Common Stock",Financials,金融
ALTO,"Alto Ingredients, Inc. - Common Stock",Materials,原物料
ALTS,ALT5 Sigma Corporation - Common Stock,Information Technology,資訊科技
